Date,Title,Budget,URL,Description
2026-02-22T17:07:00.707Z,Full Stuck Developer Required to Upgrade GenBI Solution,"$3,000.00",https://www.upwork.com/jobs/Full-Stuck-Developer-Required-Upgrade-GenBI-Solution_~022025618336615949118/?referrer_url_path=/nx/search/jobs/,"GenBI is an end-to-end Generative Business Intelligence platform that allows organizations to connect their databases, enrich the schema with business context, and interact with their data through nat..."
2026-02-22T14:46:46.545Z,Build No-Code AI Agent for Email Automation Workflow,$150.00,https://www.upwork.com/jobs/Build-Code-span-class-highlight-span-span-class-highlight-Agent-span-for-Email-Automation-Workflow_~022025583045347000569/?referrer_url_path=/nx/search/jobs/,"Job Description:  Looking for someone to help us build a no-code AI agent to support our email automation process.  This is a one-off project, with potential for ongoing work if it’s a good fit.  Goal..."
2026-02-22T14:13:24.221Z,AVA app upgrade and MVP prep,"$3,000.00",https://www.upwork.com/jobs/AVA-app-upgrade-and-MVP-prep_~022025574646717923912/?referrer_url_path=/nx/search/jobs/,"AVA Digital Services — MVP Development Team Contract Engagement | Fixed-Price | Mobile + Backend + Design  Classification: Public — Job Posting Contract Type: Fixed-Price, Milestone-Based Team Locatio..."
2026-02-22T11:22:07.438Z,"AI Agent Developer (ML, LLMs, Applied Reinforcement Learning)",$800.00,https://www.upwork.com/jobs/span-class-highlight-span-span-class-highlight-Agent-span-Developer-LLMs-Applied-Reinforcement-Learning_~022025531542856552050/?referrer_url_path=/nx/search/jobs/,"Project Overview:  We are looking for a highly skilled AI Engineer (Master’s or PhD background preferred) to build a robust, autonomous AI agent.  This project goes beyond simple API wrappers and basi..."
2026-02-22T10:09:12.732Z,Forward Deployed AI Engineer for B2B Tech Solutions,"$1,000.00",https://www.upwork.com/jobs/Forward-Deployed-span-class-highlight-span-Engineer-for-B2B-Tech-Solutions_~022025513194187440712/?referrer_url_path=/nx/search/jobs/,Build Agentic GTM Systems for Sophisticated B2B Tech Companies  We’re building AI-native GTM systems for B2B tech companies ($5M–$50M ARR).  This is not a prompt engineering gig. This is not a chatbot...
2026-02-22T08:14:12.087Z,Telemedicine Web & Mobile App Development with Complete AI Integration,$900.00,https://www.upwork.com/jobs/Telemedicine-Web-amp-Mobile-App-Development-with-Complete-span-class-highlight-span-Integration_~022025484250965698919/?referrer_url_path=/nx/search/jobs/,We are seeking skilled developers to create a telemedicine web application and mobile app with AI integration. The project will involve designing intuitive front-end interfaces for both platforms and ...
2026-02-22T06:34:12.657Z,Openclaw expert,$300.00,https://www.upwork.com/jobs/Openclaw-expert_~022025459087378968674/?referrer_url_path=/nx/search/jobs/,"Hello!  We're looking for someone who is an expert in AI, Claude, OpenClaw and similar tools to help us with a few automations.  We're a company who is in eCom services and we want to automate a few o..."
2026-02-22T06:16:31.328Z,"Rust, WASM, Agent development, OpenClaw Clone",$900.00,https://www.upwork.com/jobs/Rust-WASM-Agent-development-OpenClaw-Clone_~022025454635707505636/?referrer_url_path=/nx/search/jobs/,"OpenClaw (Rust) — AI Gateway    What is OpenClaw (in simple terms)? OpenClaw is a AI gateway that connects chat applications and AI agents, with supporting features such as scheduling (cron jobs), wor..."
2026-02-22T04:59:23.432Z,Commission-Only Job Hunter Needed to help landing a 6-Figure Remote Tech Role in the US,"$2,000.00",https://www.upwork.com/jobs/Commission-Only-Job-Hunter-Needed-help-landing-Figure-Remote-Tech-Role-the_~022025435224747658618/?referrer_url_path=/nx/search/jobs/,"About the Client 👨‍💻  Senior Software Engineer and Software Architect with 10+ years of experience in the US technology market. He has steadily grown in role, responsibility, and compensation — moving..."
2026-02-22T03:08:07.610Z,Build an AI-Powered Email Response & Automation System (Make.com / Airtable / Claude API / Front),"$3,500.00",https://www.upwork.com/jobs/Build-Powered-Email-Response-amp-span-class-highlight-Automation-span-System-Make-com-Airtable-span-class-highlight-Claude-span-span-class-highlight-API-span-Front_~022025407224966857288/?referrer_url_path=/nx/search/jobs/,"We send ~2,000 cold outreach emails per week and need a system to intelligently handle the 100–200 inbound replies this generates each week. The system classifies each reply (9 types), routes it appro..."
